title_product,description,images,Артикул Маркета,Тип,Марка мотоцикла,Тип автотехники,Код производителя,Все характеристики
Поршневая (ЦПГ) на скутер Сузуки Летс / Верде 65 кубов Suzuki lets / Verde 65cc,"Один из самых распространенных видов городского тюнинга скутера – увеличение объема двигателя.
Наиболее часто для увеличения объема двигателя используют ЦПГ 60сс или 65сс. Такой объем позволяет не «заморачиваться» с серьезными настройками либо заменой карбюратора, а стоковым подшипникам и коленвалу под силу справиться с незначительно возросшими нагрузками.
Скорость в этом случае немного увеличивается, так как обороты двигателя остаются прежними, но значительно вырастет динамика. Многим этого достаточно для комфортного передвижения по городу. Головку цилиндра в этом случае менять не нужно.
Комплектация поршневой группы:
цилиндр;
уплотнительное кольцо;
поршень;
2 кольца на поршень;
палец и его стопорные кольца;
H-41mm. d-41mm, h29mm, P-10mm. L1-54mm L2-54mm.
Подходит на скутер:
Suzuki Lets 1
Suzuki Lets 2
Suzuki Lets 2new
Suzuki Verde 50
Показать полностью
Общие характеристики
Артикул Маркета
4372003200
Тип
цилиндр
Марка мотоцикла
Suzuki
Тип автотехники
скутер
Все характеристики",['https://avatars.mds.yandex.net/get-mpic/5235967/2a000001923195dae912971501a096011bde/orig'],4372003200,цилиндр,Suzuki,скутер,SCOT1267573841,
Поршневая (ЦПГ) на скутер Хонда Дио 65 кубов / Аф-34 / 35 / Honda Dio 65cc ZX,"Один из самых распространенных видов городского тюнинга скутера – увеличение объема двигателя.
Наиболее часто для увеличения объема двигателя используют ЦПГ 60сс или 65сс. Такой объем позволяет не «заморачиваться» с серьезными настройками либо заменой карбюратора, а стоковым подшипникам и коленвалу под силу справиться с незначительно возросшими нагрузками.
Скорость в этом случае немного увеличивается, так как обороты двигателя остаются прежними, но значительно вырастет динамика. Многим этого достаточно для комфортного передвижения по городу. Головку цилиндра в этом случае менять не нужно.
Комплектация поршневой группы:
цилиндр;
уплотнительное кольцо;
поршень;
2 кольца на поршень;
палец и его стопорные кольца;
Размер поршня
H-48mm.n-19mm.p12mm.b-44.L1-55mm.L2-55mm.
Подходит на скутер:
Dio AF34
Dio AF35 ZX
Показать полностью
Общие характеристики
Артикул Маркета
4372003193
Тип
цилиндр
Марка мотоцикла
Honda
Тип автотехники
скутер
Все характеристики",['https://avatars.mds.yandex.net/get-mpic/5280162/2a00000192320d2c2872d0cb29c7d6d42753/orig'],4372003200,цилиндр,Suzuki,скутер,SCOT1267573841,
Поршневая на скутер Сузуки Летс 4 (Suzuki Lets) 4-х тактный / полный комплект цпг 50 кубов LETS 4/5 (CA41A) v50g D39 p10 h47 4Т,"Стандартная поршневая группа для японских скутеров с 4-тактным двигателем SUZUKI объемом 50 см³ (50 кубов) соответствует оригинальным параметрам по диаметру поршня и цилиндра. На поверхности нанесен заводской хон. После установки требуется обкатка не менее 500 км. Через 2000 км пробега рекомендуется заменить масло в двигателе.
Обновление поршневой группы способствует увеличению компрессии и восстановлению заводской мощности. Обязательно настройте карбюратор в соответствии с новой поршневой группой. Для достижения наилучших результатов по динамике рекомендуется также заменить головку цилиндра или выполнить притирку клапанов на заводской головке.
Этот продукт идеально подходит для тех, кто хочет улучшить характеристики своего двухколёсного транспорта, сохраняя при этом ресурс двигателя. Не забудьте перед установкой смазать все скользящие элементы (палец, поршень, кольца) 4-тактным маслом.
Вся поршневая группа изготовлена из высококачественных материалов, что обеспечивает долговечность и надежность. Поршень имеет специальное покрытие, предотвращающее его износ и деформацию.
Дополнительные детали, такие как прокладки, свечи и масла, а также элементы трансмиссии и подвески, доступны в нашем магазине.
Подходит на модели скутеров:
Японский скутер Suzuki Lets 4T (Сузуки Летс 4) с 4-х тактным двигателем объемом 50 кубов
Размеры:
H=41mm, h=14mm, p=10mm, d=39mm
L1=48mm, L2=48mm, d=39mm
Что входит в комплект:
- Цилиндр стандартного объема
- Прокладки под цилиндр, глушитель и натяжитель цепи грм
- Поршень с комплектом колец
- Палец со стопорными кольцами
Показать полностью
Общие характеристики
Артикул Маркета
4371078627
Бренд
S24
Тип
Цилиндро-поршневая группа для скутера
Марка мотоцикла
Suzuki
Все характеристики",['https://avatars.mds.yandex.net/get-mpic/5280162/2a0000018e440045d04e51ddaeb999de497e/orig'],4372003200,цилиндр,Suzuki,скутер,SCOT1267573841,
"Поршневая (ЦПГ) на скутер Хонда Дио / Такт 75 кубов / Аф - 18 / 24 , 27 , 31 , 51 Honda Dio , Tact 80 сс","Один из самых распространенных видов городского тюнинга скутера – увеличение объема двигателя.
Для любителей тюнинга выпускаются комплекты поршневой 72сс или даже 76сс (диаметр поршня 48 мм).
Еще несколько лет назад найти их было достаточно проблематично, но сейчас, с увеличением китайских и тайваньских заводов запчастей для скутеров, с этим проблем нет. Купить один из таких китов можно у нас.
Старая головка цилиндра в этом случае уже не подходит, поэтому рекомендуется замена поршневой группы.
Установка набора увеличенного объема ничем не отличается от стандартной замены поршневой.
Комплектация поршневой группы:
цилиндр;
уплотнительное кольцо;
поршень;
2 еольца на поршень;
палец и его стопорные кольца;
Размеры поршня
H-51.5mm. n-22.5mm. p-12mm. d-47mm. L1-55mm, L2-55mm
Подходит на скутер:
Dio AF18 Tact AF51
Dio AF25 Tact AF30
Dio AF27 Tact AF24
Dio AF28 ZX Julio AF52
DJ1 RR Giorno AF24
Показать полностью
Общие характеристики
Артикул Маркета
4372003196
Тип
цилиндр, поршень
Марка мотоцикла
Honda
Тип автотехники
скутер
Все характеристики","['https://avatars.mds.yandex.net/get-mpic/5233098/2a00000192323fb1ecbc4c20d870daf6db89/orig', 'https://avatars.mds.yandex.net/get-market-ugc/6192268/2a000001913b576236fa6d574b0cbce86781/120x160']",4372003200,цилиндр,Suzuki,скутер,SCOT1267573841,
"Катушка зажигания на Лодочный мотор . 2шт ( комплект) Ветерок 2-тактный. Hidea, HANGKAI, Tohatsu (универсальная)","Описание товара
Стандартные катушки зажигания на лодочные 2-х тактные и 4-х тактные моторы. Поставляются комплектом из 2-х штук с бронепроводами и надсвечниками. Подробнее рассмотреть деталь и узнать размеры вы можете на дополнительных фото в карте товара. Соответствие моделей приведено ниже.
Катушка зажигания отвечает за создание искры, необходимой для правильного сгорания топливной смеси в двигателе. Изготовленная из качественных материалов, эта катушка устойчива к воздействию высоких температур и вибраций, которые характерны при эксплуатации лодочного мотора.
Эти катушки разработаны с учетом всех оригинальных характеристик, что обеспечивает 100% совместимость с вашими двигателями.
Простая замена и диагностика. Для проверки старой катушки зажигания вы можете подсоединить свечу и прислонить ее к любому металлическому элементу двигателя без краски. Если при прокручивании двигателя искры нет, то проблема возникла в системе зажигания, а именно:
- неисправная свеча
- неисправная катушка зажигания
- неисправен коммутатор
- неисправен статор генератора
Первым делом меняют именно свечу и катушку зажигания.
Подходит на модели скутеров:
Размеры:
Отверстие под крепление - 6,5 мм
Ширина катушки - 67 мм
Высота катушки - 43 мм
Отдельные контакты для подключения - 2 шт
Подходит для:
Лодочные моторы. Hidea, HANGKAI, Tohatsu и другие модели
Показать полностью
Общие характеристики
Артикул Маркета
4371078631
Бренд
S24
Цвет товара
черный
Длина
6 см
Все характеристики",['https://avatars.mds.yandex.net/get-mpic/1680954/img_id9018421182999460117.jpeg/orig'],4372003200,цилиндр,Suzuki,скутер,SCOT1267573841,
Вариатор передний тюнинг на китайский скутер 125 / 150 кубов 152QMI / 157QMJ TUNING,"Описание товара
Спортивный вариатор на скутера Китайского производства с двигателем 157QMJ м объемом двигателя 150 - 200сс.
Премиальное качество производства! Все плоскости отшлифованы, а внутренняя щека обработана до зеркального состояния. С данным вариатором на Вашем скутере можно ожмдать прироста максимальной сокрости от 10 до 15 км/ч! Увеличенный диаметр шкива дает возможность выходить ремню вариатора на больший диаметр увеличивая производительность и глубже ""утапливая"" ремень в шиквах заднего вариатора (сцеплении). Динамика разгона скутера Вас также приятно удивит! Удлиненные дорожки для выхода роликов вариатора и совершенно другие углы для их выхода. В комплекте идет 9 роликов для точной настройки скутера, и еще вы получаете пружинки для сцпления на 1500RPM, которые желательно установить сразу. Внутрянняя меднай втулка в щеке вариатора устойчива к износу, как и слайдеры, выполненные из лучшего ABS пластика.
Тюнинг скутера - это не так сложно. И вариатор - это как раз то, с чего стоит начать.
Лучше сразу преобрести качественный ремень с кевларом, т. к. из за увеличения оборотов и нагрузки дешевые ремни вариатора будут быстро рваться.
После установки Вариатора вы можете перейти к более углубленному тюнингу скутера и раскрыть его потенциал. Например поршневую группу увеличенного объема, головку с увеличенными клапанами.
Комплектация вариатора:
-9 роликов вариатора
-Внутренняя щека вариатора
-Паук (фиксатор роликов с обратной стороны щеки вариатора)
-3 слайдера
-Втулка вариатора (Палец)
-3 пружины для колодок сцепления
Подходит на модели скутеров:
Китайские скутеры: скутера китайского и российского с двигателем 4т серии GY6 с маркировкой 157QMJ и объемом двигателя от 150 до 200 кубов / Motoland, BWS, RegulMoto, Meteor, Racer, Click, Corvus, Fantom, Fire, Force, Vento, Lifan, Stels, Nexus, Baltmotors, Omaks, Wels, Irbis, Fortune, Sonik, Keeway, Griphon, Storm, SYM (БВС, РегулМото, Метеор, Рейсер, Клик, Корвус, Фантом, Фаер, Форс, Венто, Лифан, Стелс, Нексус, БалтМоторс, Омакс, Велс, Ирбис, Фортун, Соник, Кивей, Гифон, Шторм, СИМ и другие)
Квадроциклы: ATV с двигателем 157QMJ 150 - 200 кубов
Размеры:
Диаметр внутреннего шкива - 114 мм
Внешний диаметр втулки - 24 мм
Внутренний диаметр втулки - 15 мм
Внутренний диаметр отверстия под втулку вариатора - 24 мм
Внутренний диаметр отверстия паука - 15 мм
Длина пальца - 51 мм
Ролики - 18*14 мм
Показать полностью
Общие характеристики
Артикул Маркета
4371077765
Бренд
Komatsu
Тип
Вариатор для скутера
Марка мотоцикла
Honda
Все характеристики",['https://avatars.mds.yandex.net/get-mpic/12305976/2a0000018e66a1075bea4e8a464b0a457a25/orig'],4372003200,цилиндр,Suzuki,скутер,SCOT1267573841,
Колодки заднего тормоза на китайский скутер 50-150 кубов 139QMB/152QMI/157QMJ 10-12 радиус,"Стандартные тормозные колодки на китайские скутера 139QMB с 10 и 12 диаметром колеса с барабанным тормозом. Отличается от других барабанных тормозных колодок своей охлаждаемой перфорированной накладкой, которая улучшает сцепление комплекта с поверхностью барабана.
Колодки — это элемент тормозной системы скутера, который изнашивается быстрее всего. Поэтому их приходится часто покупать и менять. Дисковые тормоза намного эффективнее по сравнению с барабанными, но барабанные срабатывают намного ""плавнее"". Именно поэтому на задней оси (менее нагруженной при торможении) современных скутеров ставят барабанные тормоза. Из чего состоят наши тормозные колодки для скутера? Первая часть — основание, металлическая пластина. К ней приклеен второй компонент — фрикционная накладка, которую иногда называют «феродо».
Фрикционная накладка — это рабочий элемент. Он стирается, изнашивается, и именно от его ресурса зависит срок службы всей колодки. Если сделать накладку слишком твёрдой, она быстро испортит барабан, а эффективность торможения будет низкой. Если слишком мягкой — скутер будет хорошо тормозить, но колодки мопеда придётся менять слишком часто. Поэтому производители наших тормозных колодок нашли компромисс! Произвести самостоятельно замену тормозных колодок может даже начинающий скутерист, который ранее не сталкивался с ремонтом мото-техники. Нужно только снять диск закрепленный на 1 болтах, снять отверткой старые тормозные колодки и установить на их место новые, после чего собрать в обратном порядке.
Чаще всего эти колодки устанавливаются в качестве тормоза заднего колеса. Меняются исключительно комплектом, а не по одной.
После очистки либо замены колодок тормоза не сразу приобретают свою полною эффективность. Требуется пробег скутера около 200 км для приработки накладок тормозных колодок с рабочей аоверхностью диска.
Подходит на модели скутеров:
Китайские скутеры: скутера китайского и российского с двигателем 4т серии GY6 с маркировкой 157QMJ и объемом двигателя от 150 до 200 кубов / Motoland, BWS, RegulMoto, Meteor, Racer, Click, Corvus, Fantom, Fire, Force, Vento, Lifan, Stels, Nexus, Baltmotors, Omaks, Wels, Irbis, Fortune, Sonik, Keeway, Griphon, Storm, SYM (БВС, РегулМото, Метеор, Рейсер, Клик, Корвус, Фантом, Фаер, Форс, Венто, Лифан, Стелс, Нексус, БалтМоторс, Омакс, Велс, Ирбис, Фортун, Соник, Кивей, Гифон, Шторм, СИМ и другие)
Квадроциклы: ATV с двигателем 157QMJ 150 - 200 кубов
Китайские скутеры с двигателем 4т серии GY6 с маркировкой 139QMB, 1P39QMB и 139QMA и объемом двигателя 80 - 100 кубов / Omaks (Омакс) / Motoland (Мотолэнд) / Racer (Рейсер) / Irbis / Storm / Stels / Lifan Viper Wind Racer (Вайпер) / Meteor IRBIS Z50R (Ирбис) / Viper Grand PRIX Honling Joker QT-7; ЗиД Lifan (Лифан) LF50QT-8A / RACE WOLF RC 50QT-3B / NAVIGATOR E-MOTO XJ 50QT-5 / JIEDA JD 50QT-4A
Размеры:
Диаметр тормозных колодок в сборе - 105,5 мм
Высота тормозных колодок - 25,5 мм
Длина пружин - 31,5 мм
Показать полностью
Общие характеристики
Артикул Маркета
4371078135
Бренд
S24
Тип
Тормозные колодки для скутера
Совместимые модели
Motoland, BWS, RegulMoto, Meteor, Racer, Click, Corvus, Fantom, Fire, Force, Vento, Lifan, Stels, Nexus, Baltmotors, Omaks, Wels, Irbis, Fortune, Sonik, Keeway, Griphon, Storm, SYM
Тип автотехники
скутер
Ось установки
задняя
Длина
100 мм
Ширина
100 мм
Высота
30 мм
Диаметр
20 мм
Вес
0.2 кг
Количество в комплекте
1 шт.
Подробная комплектация
Тормозные колодки для скутера
Дополнительная информация
Колодки заднего тормоза на китайский скутер 50-150 кубов 139QMB/152QMI/157QMJ 10-12 радиус
Дополнительно
Материал
Металл
Перед покупкой уточняйте характеристики и комплектацию у продавца.",['https://avatars.mds.yandex.net/get-mpic/5219097/2a00000194d5901dc175d70870abbae41071/orig'],4372003200,цилиндр,Suzuki,скутер,SCOT1267573841,
Щека вариатора неподвижная на китайский скутер 50/80 кубов 139QMB 50cc внешняя,"Как работает:В первую очередь стоит обратить внимание на рабочую часть поверхности неподвижной щеки вариатора. Именно она подвержена износу. Отчетливо будут видны канавки, в которых ремень перемещается. Это подтверждает, что щека вариатора изношена и ее следует заменить.
К чему приводит износ неподвижной щеки:- Падает максимальная скорость;- Пропадает тяга на подъемах или при езде вдвоем;- Появляются рывки и провалы при разгоне;- Быстро стирается ремень вариатора.
На что подходит: на китайский скутер 50/80 кубов 139QMB 50cc
Размеры: Отверстие внутреннего диаметра 14 мм Отверстие внутреннего диаметра 114 мм
Показать полностью
Общие характеристики
Артикул Маркета
4371078130
Бренд
S24
Тип
щека вариатора на скутер
Тип автотехники
скутер
Все характеристики",['https://avatars.mds.yandex.net/get-mpic/5257755/img_id5630995164054715376.jpeg/orig'],4372003200,цилиндр,Suzuki,скутер,SCOT1267573841,
Вариатор задний (сцепление) на китайский скутер 125/150 кубов / 152QMI / 157QMJ в сборе,"Описание товара
Стандартный задний вариатор в сборе на китайские скутера. Обладает элементами, которые не подлежат отдельной замене. Частой причиной ""провалов"" в разгоне на скутере являются в первую очередь стертые или деформированные дорожки на шкивах заднего вариатора. Исправить к сожалению это никак нельзя и подлежит такое сцепление исключительно замене. А выработку данного элемента можно увидеть только при полной диагностике и разборе трансмиссии.
Вариатор задний для скутера китайского и российского с двигателем 4т серии GY6 с маркировкой 157QMJ. Чаще всего такие двигатели можно встретить на следующих моделях скутеров: Viper Wind Racer (Вайпер) Meteor IRBIS Z150R (Ирбис) Viper Grand PRIX Honling Joker QT-7 ЗиД Lifan (Лифан) LF150QT-8A RACE WOLF RC 150QT-3B NAVIGATOR E-MOTO XJ 150QT-5 JIEDA JD 150QT-4A и ещё много других.
Пружины колодок заднего вариатора можно заменить, как и пружину торкдрайвера. Диаметр колокола 136,5 мм. Сцепление протянута с завода и не требует дополнительной протяжки после покупки. Изначально сбалансировано настроено. Не резкий подхват на низких оборотах, плавный разгон и достижение максимальной скорости.
Включает в себя 2 шкива, колодки сцепления, барабан сцепления, пружину сцепления и внутренние подшипники смазаны с завода солидолом.
Классические и игольчатые подшипники внутри так же подвергаются высоким нагрузкам. Следует следить за их состоянием. К сожалению так же нельзя заменить отдельно.
Задний вариатор - важная часть трансмиссии и требует ухода и диагностики. При появлении раковин на шкивах может рвать ремни. Смазан с завода.
Желательно проконсультироваться с нашими специалистами перед приобретением данной запчасти.
Подходит на модели скутеров:
Китайские скутеры: скутера китайского и российского с двигателем 4т серии GY6 с маркировкой 157QMJ и объемом двигателя от 150 до 200 кубов / Omaks / Motoland / Racer / Irbis / Storm / Stels / Lifan Viper Wind Racer (Вайпер) / Meteor IRBIS Z150R (Ирбис) / Viper Grand PRIX / Honling Joker QT-7;ЗиД Lifan (Лифан) LF150Q / RACE WOLF RC 150 / NAVIGATOR E-MOTO XJ 150 / JIEDA JD 150
Размеры:
Рабочий объём - от 150 см3 до 180 см3
Диаметр колокола - 136,5 мм
Внутренний диаметр колокола - 125 мм
Внутренний диаметр отверстия колокола - 15 мм
Внутренний диаметр платы сцепления - 20,5 мм
Диаметр шкивов - 142 мм
Количество шлицов на колоколе - 19 шт
Показать полностью
Общие характеристики
Артикул Маркета
4371080308
Бренд
Komatsu
Тип
Вариатор для скутера
Марка мотоцикла
Honda
Все характеристики",['https://avatars.mds.yandex.net/get-mpic/12552957/2a0000018e6bb61c8ed45f9bcf0074c266d1/orig'],4372003200,цилиндр,Suzuki,скутер,SCOT1267573841,
Топливный (бензиновый) фильтр ( комплект с топливным шлангом и хомутами) на мотоцикл / мопед / скутер,"Топливный (бензиновый) фильтр ( комплект с топливным шлангом и хомутами) для мотоцикла мопеда, скутера, питбайка, квадроцикла. Бензиновый фильтр в комплекте с топливным шлангом , рассчитанным под диаметр 6-8мм . Устанавливается на мототехнику . Чаще всего применяется на двигателях 139FMA, 139FMB, 147FMH, 152FMH, 154FMI, YX125, YX140, 165fmm,164FML, 139QMB, 157QMJ, Gy6 и др. мототехники фирм Racer,Alpha,Motoland,Racer,Kayo,Альфа, Сабур, Вираго. Общая длина топливных шлангов вместе с фильтром 28 см
Показать полностью
Общие характеристики
Артикул Маркета
4371080276
Бренд
Komatsu
Тип
Топливный кран для мотоцикла
Марка мотоцикла
Kawasaki
Все характеристики","['https://avatars.mds.yandex.net/get-mpic/5210428/img_id2600335258833242573.jpeg/orig', 'https://avatars.mds.yandex.net/get-market-ugc/9429964/2a00000191a27109ee00c3a666883b0e2a40/120x160']",4372003200,цилиндр,Suzuki,скутер,SCOT1267573841,
